,id,num_tokens,num_nodes,num_edges,nodes_plus_edges,efficiency,normalized_efficiency
0,1,2628,13,8,21,0.007990867579908675,0.21654191276594698
1,2,2396,41,8,49,0.020450751252086813,0.7466894886831682
2,3,3834,29,13,42,0.010954616588419406,0.34264456298550255
3,4,2544,43,5,48,0.018867924528301886,0.6793428125191454
4,5,3392,36,6,42,0.012382075471698114,0.40338059283957745
5,6,4713,47,15,62,0.013155102906853384,0.4362716399510495
6,7,3850,18,3,21,0.005454545454545455,0.10862557406778091
7,8,3240,49,11,60,0.018518518518518517,0.6644761609539162
8,9,2691,49,2,51,0.0189520624303233,0.6829227419930468
9,10,4608,45,12,57,0.012369791666666666,0.4028579371204873
10,11,2356,21,9,30,0.012733446519524618,0.41833085354455163
11,12,4662,37,12,49,0.010510510510510511,0.32374857913460786
12,13,2305,16,1,17,0.00737527114967462,0.19034929622004726
13,14,2882,19,1,20,0.006939625260235947,0.1718132794866069
14,15,3656,18,7,25,0.006838074398249453,0.16749245717952088
15,16,2930,21,6,27,0.009215017064846417,0.26862746180274705
16,17,2141,30,8,38,0.017748715553479684,0.6317223097473836
17,18,2143,43,1,44,0.02053196453569762,0.7501449804494907
18,19,4102,19,6,25,0.006094588005850805,0.13585833289490146
19,20,4495,19,14,33,0.007341490545050055,0.18891198700224776
20,21,4440,26,10,36,0.008108108108108109,0.22153030458881534
21,22,3218,50,15,65,0.020198881292728402,0.7359728357903016
22,23,3693,16,6,22,0.005957216355266721,0.13001339489443547
23,24,4197,50,4,54,0.012866333095067906,0.4239849589719981
24,25,4925,48,4,52,0.010558375634517767,0.3257851615081725
25,26,2895,26,15,41,0.014162348877374784,0.4791283008696952
26,27,2635,19,14,33,0.012523719165085389,0.40940729924141167
27,28,2634,42,15,57,0.02164009111617312,0.7972939455526158
28,29,2776,23,13,36,0.012968299711815562,0.42832347096099493
29,30,4911,10,9,19,0.003868865811443698,0.041157510874801975
30,31,3328,15,15,30,0.009014423076923076,0.26009251723672466
